,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19
Topic 0,people,ai,data,just,human,make,insurance,information,based,health,medical,think,good,way,decisions,companies,like,doesn,instead,work
Topic 1,data,health,don,insurance,good,like,companies,miner,research,care,medical,used,sharing,want,mr,profit,people,just,need,make
Topic 2,data,want,medical,people,healthcare,capitalism,health,say,care,used,patient,think,believe,writer,don,information,end,history,patients,control
Topic 3,insurance,health,people,data,companies,healthcare,information,care,genetic,use,don,premiums,profit,pool,based,ai,cost,world,risk,driving
Topic 4,data,just,don,use,health,good,targeted,insurance,ai,internet,micro,information,facebook,need,job,coverage,people,technologies,ads,tracker
Topic 5,ai,just,thing,business,privacy,research,data,years,companies,good,maybe,times,use,doesn,ve,hipaa,used,make,way,new
Topic 6,data,ai,algorithm,algorithms,just,human,machine,learning,intelligence,artificial,people,use,insurance,sets,using,time,doctor,like,factors,systems
Topic 7,ai,insurance,company,data,making,algorithms,benefits,decision,people,create,large,new,good,use,society,example,law,life,don,long
Topic 8,insurance,health,data,https,information,www,target,href,_blank,profit,care,com,privacy,access,healthcare,companies,higher,want,personal,money
Topic 9,data,medical,insurance,companies,records,privacy,people,like,industry,know,information,company,life,test,don,patient,security,phone,personal,use
Topic 10,insurance,data,risk,just,costs,company,companies,individual,pay,use,bad,maybe,healthcare,want,individuals,industry,personal,doesn,people,folks
Topic 11,health,data,cells,insurance,care,time,use,people,know,companies,exactly,like,privacy,lacks,used,tell,away,magic,employees,good
Topic 12,insurance,risk,health,companies,premiums,people,insurers,insured,pay,lower,company,business,claims,good,does,premium,low,new,data,issue
Topic 13,insurance,privacy,data,health,information,know,don,care,need,companies,use,company,thing,people,car,real,medical,like,buy,want
Topic 14,data,health,insurance,people,companies,medical,patients,make,information,records,ai,government,care,hipaa,use,way,used,money,good,share
