,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19
Topic 0,medical,ai,records,want,data,security,machine learning,learning,machine,industry,life,use,information,exactly,say,privacy,just,believe,individual,people
Topic 1,health,people,insurance,privacy,state,medical,person,car,state farm,farm,thing,care,companies,going,use,does,algorithm,high,privacy bad,bad thing
Topic 2,data,health,care,health care,access,medical,information,share,used,companies,health data,research,insurance,hipaa,good,patients,like,people,conditions,sharing
Topic 3,ai,don,need,use,way,privacy,human,profit,work,algorithm,just,data,people,help,medical,cells,information,make,fitbit,research
Topic 4,data,algorithms,people,based,ai,algorithm,intelligence,just,artificial,machine,corporations,use,human,make,healthcare,insurance,profit,decisions,making,payer
Topic 5,privacy,use,good,data,internet,targeted,need,micro,micro targeted,bad,technologies,just,like,insurance,sign,understand,monitoring,job,abuse,ads
Topic 6,ai,https,data,https www,www,target,privacy,company,target _blank,target _blank https,_blank,_blank https,href https,href,com,information,people,think,use,want
Topic 7,insurance,companies,people,insurance companies,risk,company,pay,insurance company,health,health insurance,like,premiums,rates,data,life,information,driving,higher,good,just
Topic 8,risk,insurance,premiums,health,data,pool,diagnosis,individual,companies,don,coverage,ai,insurers,way,money,based,business,patient,know,sets
Topic 9,data,health,medical,people,care,information,don,insurance,healthcare,companies,better,privacy,personal,company,know,hippa,patient,time,just,make
