,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19
Topic 0,data,medical,want,time,insurance,people,company,benefit,way,don,used,care,just,car,use,patient,work,using,person,information
Topic 1,people,insurance,companies,insurance companies,ai,company,privacy,business,good,information,real,data,use,new,look,make,big,track,life,credit
Topic 2,data,insurance,people,use,health,information,good,companies,based,insurance companies,medical,make,corporations,use data,technology,government,research,know,life,individual
Topic 3,insurance,health,information,patient,medical,capitalism,care,companies,data,insurance companies,know,don,money,social,used,health care,doctor,going,conditions,works
Topic 4,ai,data,people,making,use,decision,life,just,good,based,insurance,algorithms,use ai,coverage,cost,medical,premiums,like,used,regulation
Topic 5,data,healthcare,information,insurance,don,people,privacy,need,health,article,ai,better,times,help,just,share,use,lifestyle,large,companies
Topic 6,big,insurance,interests,brother,big brother,phone,way,government,ve,driving,app,lie,information,health,individual,fact,thing,control,risk,technology
Topic 7,data,insurance,care,health,medical,health care,people,healthcare,government,say,information,health insurance,better,patients,costs,got,access,steps,medical care,records
Topic 8,insurance,risk,companies,ai,people,just,pool,insurance companies,higher,company,like,new,data,algorithms,algorithm,lower,high,claims,cost,insurance company
Topic 9,insurance,people,data,don,risk,health,used,conditions,good,use,information,companies,cells,private,pre,pre existing,existing,business,rates,medical
Topic 10,make,time,long,hipaa,freedom,talk,information,say,money,far,electronic,make money,privacy,benefits,good,illegal,ai,insurance,going,day
Topic 11,health,data,insurance,https,care,privacy,health care,health insurance,companies,www,https www,target,ai,_blank https,href,target _blank,href https,_blank,com,control
Topic 12,insurance,data,health,just,companies,profit,insurance companies,life,don,make,using,need,state,ai,payer,single payer,single,work,think,good
Topic 13,risk,insurance,ai,people,insurers,time,algorithms,data,humans,money,premiums,coverage,solutions,health,intelligence,answer,thing,got,simply,scientists
Topic 14,health,genetic,discrimination,test,data,like,author,sets,insurance,ai,cancer,open,premiums,agree,algorithms,bias,want,seriously,got,need
Topic 15,insurance,companies,data,pay,medical,ai,want,information,driving,make,records,intelligence,insurance companies,decisions,artificial,human,dna,industry,premiums,use
Topic 16,internet,good,medical,use,job,data,targeted,just,like,lot,micro,micro targeted,people,records,old,abuse,problems,think,things,don
Topic 17,data,health,share,ai,people,information,mr,companies,research,miner,hipaa,large,problem,need,diagnosis,like,mr miner,health data,able,work
Topic 18,insurance,company,insurance company,know,did,bad,employer,month,car,really,auto,people,help,year,hit,like,rates,years,companies,deal
Topic 19,insurance,algorithm,human,market,industry,risk,numbers,people,product,way,just,need,ai,buy,don,point,reason,discrimination,costs,biased
