,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19
Topic 0,insurance,companies,risk,company,insurance companies,insurance company,rates,pay,car,lower,people,higher,did,big,premiums,data,pool,coverage,driving,good
Topic 1,insurance,people,companies,data,risk,medical,insurance companies,want,information,dna,individual,records,ai,price,premiums,cost,company,work,future,risks
Topic 2,health,healthcare,industry,insurance,care,medical,health care,profit,capitalism,data,information,insurance industry,corporations,single,privacy,health insurance,going,companies,history,americans
Topic 3,app,people,car,insurance,phone,privacy,companies,use,big,think,good,media,freedom,bought,driving,social media,data,brother,big brother,know
Topic 4,existing,pre existing,pre,diagnosis,conditions,data,existing conditions,cells,used,people,privacy,condition,doctor,insurance,health,care,good,don,levels,want
Topic 5,insurance,money,big,exactly,government,healthcare,life,information,control,health,interests,change,personal,live,shared,time,idea,insurers,social,ai
Topic 6,insurance,don,internet,use,targeted,micro,micro targeted,good,bad,ads,job,just,company,people,need,data,monitoring,technologies,abuse,choose
Topic 7,data,medical,real,used,hipaa,going,far,make,just,seen,day,good,article,state,electronic,profit,ai,doesn,cheaper,records
Topic 8,ai,data,people,decisions,make,human,just,health,information,use,based,insurance,algorithms,making,risk,good,like,world,company,intelligence
Topic 9,data,health,information,companies,records,access,health data,share,know,use,make,care,used,sharing,insurance,like,hipaa,patients,health care,medical
Topic 10,data,https,people,health,https www,www,target,href,target _blank,_blank,_blank https,href https,life,think,use,gov,insurance,doesn,information,don
Topic 11,ai,health,risk,just,people,insurance,use,algorithm,like,data,way,human,let,based,time,companies,reason,personal,discrimination,don
Topic 12,insurance,health,companies,data,privacy,insurance companies,don,care,health insurance,information,medical,like,profit,risk,just,patient,use,company,good,want
Topic 13,data,don,insurance,time,want,people,medical,way,just,care,know,algorithm,state,like,health,cancer,thing,think,pay,algorithms
Topic 14,data,insurance,people,health,risk,industry,life,costs,steps,live,health care,care,quality,premiums,real,way,higher,privacy,high,wouldn
