,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19
Topic 0,premiums,ll,coverage,diabetes,better,insurance,people,marketing,saving,chances,level,private,condition,sharing,companies,article,really,health,end,live
Topic 1,people,insurance,ai,information,companies,genetic,insurance companies,medical,like,science,just,ways,way,profit,individual,policies,make,reason,technology,consequences
Topic 2,data,insurance,medical,profit,records,big,make,research,risk,people,privacy,intelligence,decisions,buy,computer,human,cash,costs,interests,researchers
Topic 3,cells,data,problem,insurance,time,collection,premiums,pregnant,information,basis,numbers,people,women,immoral,lacks,premium,dna,generally,trust,charge
Topic 4,algorithms,data,people,algorithm,ai,used,medical,don,like,human,just,need,ai algorithms,bias,control,real,type,designed,using,sets
Topic 5,data,medical,want,health,miner,person,care,privacy,company,companies,patient,time,ve,don,people,com,work,physician,say,https
Topic 6,just,dna,healthcare,ai,instead,care,law,based,used,app,facebook,people,actually,allow,sites,laws,use,access,women,subject
Topic 7,data,https,https www,www,health,target,href,target _blank,_blank,_blank https,href https,personal,information,algorithm,single,healthcare,way,payer,single payer,article
Topic 8,use,ai,need,targeted,privacy,people,internet,micro,micro targeted,data,just,technologies,like,good,insurance,yes,personal,social,monitoring,abuse
Topic 9,health,insurance,privacy,health insurance,insurance companies,companies,car,employers,like,want,thing,lifestyle,need,don,data,lives,person,using,used,way
Topic 10,insurance,health,data,don,companies,just,thing,life,good,insurance companies,information,time,state,steps,covered,ve,way,premiums,end,fitbit
Topic 11,insurance,car,company,did,test,companies,new,turn,insurance company,risk,results,good,just,insurance companies,don,time,life,needs,private,look
Topic 12,data,medical,information,hospital,corporations,profit,hipaa,patient,make,far,real,treatment,people,patients,idea,problems,privacy,capitalism,think,money
Topic 13,data,capitalism,records,health,cost,believe,corporations,income,freedom,ai,exactly,health care,care,society,rights,pay,solution,proprietary,credit,algorithms
Topic 14,ai,data,need,use,people,make,work,just,medical,used,intelligence,maybe,insurance,farm,state farm,state,use ai,way,app,say
Topic 15,insurance,risk,companies,insurance companies,company,premiums,insurance company,people,industry,rates,pay,higher,lower,pool,insurance industry,claims,information,know,high,big
Topic 16,health,insurance,data,care,health insurance,people,health care,time,use,privacy,ai,long,genetic,just,private,algorithms,companies,machine,don,conditions
Topic 17,profit,cancer,benefit,app,medical,research,note,like,privacy,data,little,yes,medicine,doubt,using,went,use,sounds,car,lot
Topic 18,people,data,good,use,think,know,tell,private,sharing,ll,surveillance,make,access,like,insurance,information,doctor,companies,health,life
Topic 19,people,data,health,risk,help,benefits,ai,going,think,future,information,help people,good,doesn,believe,just,life,make,garbage,away
Topic 20,data,people,companies,ai,life,insurance,privacy,money,healthy,allow,matter,wrong,just,health,cost,user,access,healthcare,new,insurance companies
Topic 21,data,health,care,share,insurance,used,patients,health care,companies,information,people,privacy,don,access,research,use,want,work,ai,patient
Topic 22,health,data,good,insurance,use,privacy,companies,industry,ai,citizens,personal,way,just,information,work,know,law,tracking,technology,reason
Topic 23,data,health,information,healthcare,ai,health data,tech,decision,making,use,access health,access,author,don,care,say,share,better,illness,good
Topic 24,data,medical,diagnosis,doctor,insurance,don,care,know,health,information,records,patient,doctors,cancer,possible,phone,hipaa,tests,make,just
