,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19
Topic 0,insurance,capitalism,people,risk,individual,end,new,instead,risk pool,idea,like,interests,illness,wealth,pool,lifestyle,problems,disease,control,believe
Topic 1,insurance,privacy,thing,privacy bad,privacy bad thing,bad thing,health,bad,sleep,night,patient,steps,got,care,just,freedom,car,trackers,data,change
Topic 2,just,ai,health,information,privacy,data,don,insurance,steps,levels,amazon,ways,working,anonymous,used,company,able,people,day,far
Topic 3,data,people,make,companies,information,profit,insurance,problem,cells,ai,way,personal,business,making,privacy,company,decisions,time,insurance companies,intelligence
Topic 4,data,insurance,health,ai,people,use,companies,privacy,algorithm,large,health insurance,doesn,risk,health data,technology,just,using,insurance companies,government,profit
Topic 5,insurance,big,premiums,people,company,industry,good,history,companies,cost,risk,phone,brother,big brother,way,driving,did,ai,government,know
Topic 6,data,health,used,ai,information,insurance,insurers,use,people,medical,care,coverage,companies,personal,need,genetic,existing,want,access,healthcare
Topic 7,targeted,just,use,internet,micro,micro targeted,technologies,need,job,good,insurance,data,monitoring,abuse,ads,ml,thanks,ai,don,lives
Topic 8,data,information,medical,don,just,ai,hipaa,insurance,use,think,make,real,companies,life,people,patient,human,making,decision,actually
Topic 9,risk,insurance,higher,ai,need,just,think,higher risk,industry,shared,people,matter,don,use,risks,person,pool,market,time,new
Topic 10,data,health,people,patients,information,companies,share,algorithm,health data,like,does,hipaa,using,collect,research,protect,care,share data,human,access
Topic 11,data,health,companies,ai,diagnosis,information,people,access,insurance,world,premiums,better,know,doctor,results,use,good,healthcare,live,work
Topic 12,insurance,risk,people,companies,insurance companies,company,insurance company,premiums,good,know,like,insured,customers,costs,based,health,don,pay,human,claims
Topic 13,insurance,car,data,companies,rates,people,information,want,insurance companies,good,use,driving,like,pay,company,drivers,lower,drive,went,using
Topic 14,data,health,medical,care,insurance,records,healthcare,health care,industry,big,know,medical records,want,personal,profit,companies,better,ai,given,people
Topic 15,time,employees,health,care,ve,work,office,job,data,company,want,insurance,insurance companies,companies,people,privacy,employers,share,patient,hippa
Topic 16,data,don,like,research,information,companies,health,medical,online,people,insurance,know,privacy,ve,life,sharing,time,public,patient,good
Topic 17,data,https,health,privacy,target,https www,www,com,target _blank,href,href https,target _blank https,_blank https,_blank,just,companies,trust,gov,_blank https www,href https www
Topic 18,health,insurance,health insurance,ai,used,care,health care,algorithms,like,make,money,need,data,just,humans,life,people,pay,don,business
Topic 19,insurance,don,data,companies,ai,medical,privacy,life,people,car,just,use,lifestyle,type,disease,conditions,better,new,need,want
