,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19
Topic 0,algorithm,data,people,way,human,capitalism,real,believe,ai,information,rights,medical,time,obvious,work,ways,industry,lower,big,new
Topic 1,insurance,data,health,people,ai,coverage,like,conditions,use,pre,companies,way,healthcare,make,insurers,medical,industry,existing,healthy,work
Topic 2,data,companies,insurance,privacy,ai,health,access,just,people,information,medical,patient,algorithms,don,use,test,algorithm,think,profit,make
Topic 3,data,health,ai,https,information,medical,good,www,target,privacy,corporations,_blank,href,use,cells,com,personal,just,based,making
Topic 4,health,data,insurance,don,used,privacy,care,app,medical,people,car,phone,know,change,like,person,just,want,companies,life
Topic 5,data,people,health,information,share,use,records,medical,good,research,ai,need,don,used,want,internet,care,insurance,just,companies
Topic 6,insurance,risk,companies,people,premiums,company,pay,don,higher,health,car,big,information,like,lower,based,pool,costs,life,government
Topic 7,want,live,data,say,life,living,know,time,lives,health,people,greater,hipaa,personal,work,lets,centers,talk,ai,money
Topic 8,data,intelligence,human,artificial,decisions,information,ai,making,make,algorithms,companies,based,insurance,health,people,company,allow,use,user,know
Topic 9,health,data,insurance,care,medical,companies,information,bad,company,just,use,people,don,privacy,access,profit,want,patient,article,info
