,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19
Topic 0,insurance,company,insurance company,people,don,companies,pay,data,bad,money,way,health,insurance companies,rates,know,really,use,insured,risk,health insurance
Topic 1,insurance,privacy,companies,information,people,did,big,insurance companies,like,just,good,health,don,know,law,used,private,ai,history,use
Topic 2,insurance,data,risk,health,people,life,insurers,healthcare,companies,better,big,individual,car,algorithms,cost,profit,good,ai,non,cells
Topic 3,health,data,insurance,care,health care,companies,health insurance,information,use,health data,insurance companies,profit,medical,access,healthcare,privacy,personal,don,patient,sharing
Topic 4,data,ai,insurance,companies,medical,people,use,information,insurance companies,just,make,like,decisions,records,want,based,work,don,allow,good
Topic 5,risk,ai,insurance,https,just,people,www,https www,target,health,com,href,target _blank,href https,_blank,_blank https,high,doesn,information,higher
Topic 6,insurance,people,time,machine,want,come,company,machine learning,learning,ve,just,good,pay,agree,algorithms,work,office,doctor,make,companies
Topic 7,data,medical,people,hipaa,health,information,used,think,research,access,want,records,patients,make,sharing,don,privacy,share,human,patient
Topic 8,insurance,industry,ai,people,insurance industry,algorithms,data,algorithm,like,don,based,state,human,companies,know,healthcare,need,use,making,lower
Topic 9,privacy,data,use,just,insurance,internet,targeted,need,micro,micro targeted,technologies,like,good,monitoring,media,abuse,don,health,ads,job
