,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19
Topic 0,insurance,problems,making,ai,decision,information,don,use,algorithms,people,yes,years,article,time,know,industry,believe,health,law,decisions
Topic 1,insurance,data,companies,car,insurance companies,premiums,life,lower,way,information,state,just,big,company,based,health,don,use,work,make
Topic 2,insurance,people,share,health,companies,like,ai,bad,time,physician,insurance companies,information,maybe,cash,app,having,risk,laws,create,used
Topic 3,data,health,medical,care,health care,information,privacy,records,access,companies,health data,ai,don,use,like,research,people,used,patients,want
Topic 4,insurance,risk,data,use,medical,privacy,information,amazon,don,company,conditions,premiums,insurers,individual,companies,people,used,insurance companies,cancer,just
Topic 5,insurance,health,just,ai,like,data,health insurance,bad,privacy,human,don,people,medical,patient,way,information,intelligence,algorithm,algorithms,care
Topic 6,people,data,think,ai,good,used,real,health,miner,insurance,algorithms,don,corporations,work,healthcare,big,trust,new,algorithm,results
Topic 7,data,machine,learning,machine learning,hipaa,privacy,time,information,actually,medical,people,research,large,based,article,records,just,share,got,white
Topic 8,https,www,https www,com,ai,target,target _blank,target _blank https,href,_blank,_blank https,href https,data,href https www,_blank https www,need,just,health,people,company
Topic 9,reason,insurance,exist,companies,medical,hipaa,citizens,industry,tax,sector,talk,coverage,issue,million,bring,number,customer,law,science,way
Topic 10,insurance,health,people,know,companies,ai,don,life,live,make,medical,care,social,health insurance,premiums,like,healthy,opt,longer,information
Topic 11,people,insurance,companies,ai,data,insurance companies,industry,information,cells,help,diagnosis,work,medical,future,use,healthy,think,want,doesn,believe
Topic 12,use,algorithm,internet,targeted,just,micro,micro targeted,ads,need,data,monitoring,insurance,technologies,good,job,abuse,better,car,don,doesn
Topic 13,insurance,risk,company,insurance company,want,pay,companies,higher,insurance companies,make,pool,claim,going,way,just,cost,high,insured,policy,good
Topic 14,insurance,health,data,companies,insurance companies,profit,risk,health insurance,personal,good,government,people,just,ai,non,discrimination,information,use,based,problem
