,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19
Topic 0,people,risk,capitalism,life,don,say,insurers,think,dna,used,want,cancer,help,live,let,believe,use,quality,going,sites
Topic 1,insurance,risk,companies,data,people,lower,rates,pay,like,company,driving,pool,algorithms,higher,health,premiums,using,real,cost,individual
Topic 2,data,health,medical,information,use,care,ai,records,privacy,share,people,like,good,personal,access,patients,research,used,want,hipaa
Topic 3,ai,insurance,don,company,just,people,bad,way,know,need,work,private,test,corporate,agree,having,use,track,did,new
Topic 4,people,algorithm,cells,human,industry,data,corporations,ai,like,death,information,believe,need,don,ways,life,way,help,facebook,rich
Topic 5,healthcare,people,insurance,time,data,healthy,good,make,ai,technology,better,greater,drive,industry,life,risk,just,money,doesn,science
Topic 6,data,miner,don,like,people,mr,health,diagnosis,medical,need,think,used,care,luke,world,just,large,want,history,work
Topic 7,health,data,coverage,information,insurance,medical,paid,share,premiums,shared,time,does,sharing,doctor,fine,comprehensive,companies,citizens,car,research
Topic 8,insurance,ai,think,don,industry,lifestyle,need,algorithm,good,company,time,test,sets,market,app,companies,fitbit,risk,info,using
Topic 9,insurance,companies,work,people,company,type,dna,big,time,like,employees,job,office,customer,credit,right,using,data,rates,really
Topic 10,health,insurance,data,companies,care,profit,using,government,people,use,come,make,premium,pay,don,need,ai,profits,good,money
Topic 11,insurance,companies,data,just,premiums,based,information,people,healthcare,health,risk,car,big,algorithm,ai,share,privacy,problem,determine,decisions
Topic 12,data,health,companies,https,nih,user,allow,insurance,hipaa,healthcare,information,allofus,gov,target,access,free,want,medicine,users,universal
Topic 13,insurance,health,data,https,com,genetic,www,ai,use,information,href,_blank,target,coverage,just,medical,good,don,discrimination,privacy
Topic 14,data,insurance,privacy,companies,medical,know,information,care,patient,hippa,insurers,don,new,given,industry,way,based,use,access,health
Topic 15,ai,health,help,just,people,going,benefits,fitbit,life,industry,stay,long,social,things,insured,car,chance,don,day,coverage
Topic 16,insurance,risk,data,use,just,information,ai,people,buy,health,want,yes,government,longer,say,healthcare,don,companies,way,control
Topic 17,car,insurance,ai,used,levels,premiums,did,higher,costs,numbers,phone,taken,risk,charge,don,understand,really,time,health,make
Topic 18,insurance,risk,companies,company,people,health,make,business,good,decisions,intelligence,artificial,state,human,farm,claims,lives,like,money,high
Topic 19,privacy,thing,trust,patient,room,told,profit,work,medical,basis,bad,right,sounds,private,don,want,proprietary,car,government,line
