,commentID,status,commentSequence,userID,userDisplayName,userLocation,userTitle,userURL,picURL,commentTitle,commentBody,createDate,updateDate,approveDate,recommendations,replyCount,replies,editorsSelection,parentID,parentUserDisplayName,depth,commentType,trusted,recommendedFlag,permID,isAnonymous
0,100725114,approved,100725114,0,Anne Fauvre,San Francisco,NULL,NULL,,<br\//>,"With new technologies I don't think this has to be so zero sum. Using a combination of blockchain technology and secure compute can enable a world where data is pooled at enough scale to be used for ML purposes while still not breaking privacy laws. 

Kara is a good example of just that: <a href=""https://www.technologyreview.com/s/613520/how-ai-could-save-lives-without-spilling-secrets"" target=""_blank"">https://www.technologyreview.com/s/613520/how-ai-could-save-lives-without-spilling-secrets</a>/",1559246362,1559250380,1559246436,1,0,[],False,,,1,comment,0,0,100725114,False
1,100675020,approved,100675020,0,michael,tristate,NULL,NULL,,<br\//>,"Tsk, tsk, tsk.

Why don't you work on implementing a good regulation of our data first, AND THEN ask us to share our data? I'm already sick and tired of how my data are being stolen and exploited by the credit bureaus and silicon valley companies (FACEBOOK). 
Although I'm not a member of facebook or any of its subsidiary apps, for some reason, they have a data of myself constructed from my acquaitances. Don't you think there's something fundamentally wrong with this situation?


Work on to establish some sensible regulation that can protect the consumers if you want to work on our data.

Or else you are a just reckless mad scientist.",1558986958,1559061711,1559061711,0,0,[],False,,,1,comment,0,0,100675020,False
2,100681718,approved,100681718,0,Sharon Stout,"Takoma Park, MD",NULL,NULL,,<br\//>,"I appreciate a researcher's perspective on the value and need for aggregate data.   

I fail to see adequate attention to the risks for patients/consumers if their data are leaked, hacked, sold/bartered/traded to profit-making  entities.   

At a time when access to basic health insurance is under threat from GOP legislators, this failure to attend to risk is lamentable.   What remedy do you propose when someone's  ""pre-existing condition"" is exposed?   

Or when someone's genetic material is given to a for-profit entity for their exploitation?",1559052577,1559418780,1559052578,2,0,[],False,,,1,comment,0,0,100681718,False
3,100679933,approved,100679933,0,FREDTERR,nYC,NULL,NULL,,<br\//>,I have been exposed to the uses of AI and to data sharing of health information data internally within Heath care settings and externally including with health insurers. There are real risks in the reductionism and biases incorporated in a great many AI algorithms. Even more alarming is the misuse of the shared data that is routinely practiced by health insurers.,1559047178,1559418798,1559047179,4,0,[],False,,,1,comment,0,0,100679933,False
4,100674656,approved,100674656,0,me,"AZ, unfortunately",NULL,NULL,,<br\//>,I am more concerned with doctors not being to share my data than my data being available to data miners. The government should regulate health data so it is standardized and sharable between electronic systems. If vendors have to rewrite their code to comply so be it. My tax dollars would be better spent fixing these disparate data bases than funding research on my data.,1558981781,1558981782,1558981782,0,0,[],False,,,1,comment,0,0,100674656,False
5,100672112,approved,100672112,0,Boston Barry,"Framingham, MA",NULL,NULL,,<br\//>,"Health data was were put under strict privacy because insurers and employers are (were) allowed to use health issues to raise prices and deny employment.   We have taken some steps for health insurance, but not employment.  Why not make these practices illegal with substantial penalties similar to racial bias?",1558968175,1559418824,1558968176,1,0,[],False,,,1,comment,0,0,100672112,False
6,100671974,approved,100671974,0,Mike L,NY,NULL,NULL,,<br\//>,"This is a huge question to be sure. Currently the law clearly protects an individual’s health history. There are obvious and perfectly good reasons for this. After all, what is more personal than our health? While I see the author’s point, I am in complete disagreement with it. First of all, A.I. is still an unknown danger to us all. Do we really want computers to think for themselves? Regardless of the reason or reasons? It’s truly a Pandora’s Box which should remain closed.",1558967353,1559046386,1558967355,1,0,[],False,,,1,comment,0,0,100671974,False
7,100671435,approved,100671435,0,Richard Wesley,Seattle,NULL,NULL,,<br\//>,"A number of responses here point out the problem with personal data being used under asymmetric power relationships. But a point that I have NOT seen made is the delusional nature of anonymised medical data. 

I do industrial research in databases and there have been multiple papers published demonstrating that anonymised data is easily de-anonymised.  So assuming (as the author does) that the power relationship could be defused by anonymisation using ""legal experts, statisticians and other experts"" is pure fantasy.",1558963667,1559061779,1558963668,3,0,[],False,,,1,comment,0,0,100671435,False
8,100670976,approved,100670976,0,highway,Wisconsin,NULL,NULL,,<br\//>,So be it. The data researchers can live with it.,1558958839,1558958839,1558958839,0,0,[],False,,,1,comment,0,0,100670976,False
9,100595799,approved,100595799,0,Charles E,"Holden, MA",NULL,NULL,https://s3.amazonaws.com/pimage.timespeople.nytimes.com/avatars/cropped-d7ce7bf155f45eba3703f1be9f7ea36c094d4d442647ed3ec3ed4561aba990fa.jpg,<br\//>,"HIPAA is something that I cannot figure out for the life of me. All I know is that, when I go to a doctor's office and wait to be called for my appointment, the nurse techs come into the waiting room, no matter how large, and virtually whisper a first name. No matter how common. Steve, Kathy, whatever. And if there is a small number of people, the tech will walk right up to you and tell you your name and invite you to come along. Which begs the question: how did they know who I was? 

And they talk about my privacy as something they are safeguarding?",1558525269,1558673339,1558673339,0,0,[],False,,,1,comment,0,0,100595799,False
10,100622481,approved,100622481,0,Sarah,New York,NULL,NULL,,<br\//>,"I get that HIPAA compliance can be onerous, but I sure am glad Luke Miner doesn’t have access to my health information. He fails to see the importance of individuals understanding how their information will be used and giving consent for that specific use. Instead, he frames the unfortunate norm of unregulated accumulation and sale of personal data as a model to be emulated in one of the few areas where our personal records are actually protected, and he proposes a terrifying race to the bottom where consumer health information is shared freely with good and bad actors alike.",1558625719,1559061817,1558625721,4,0,[],False,,,1,comment,0,0,100622481,False
11,100618773,approved,100618773,0,W. B.,Michigan,NULL,NULL,https://s3.amazonaws.com/pimage.timespeople.nytimes.com/avatars/cropped-f824c4418f1e71cd4943ff7fc26b1d1a68ebe4b37340e64171f577bcbf7121a3.jpg,<br\//>,"Reality bites, Mr. Miner.

You are worried that a google search for, say, a pair of shorts inserts unwanted ads into your NYT articles, and you perform all kinds of protective measures to prevent this.  But then you want to harvest everybody's genetic markers for predictive medicine.  And what happens when insurance companies get this data and refuse to cover a patient with a serious condition?

Kind of hypocritical, don't you think.",1558615695,1559407125,1558622226,6,0,[],False,,,1,comment,0,0,100618773,False
